orbital_period,impact_parameter,transit_duration,transit_depth,planet_radius,planet_star_radius_ratio,stellar_teff,stellar_logg,stellar_radius,stellar_mass,stellar_density,stellar_magnitude,label
7.442652004,0.137,2.3078,24446.0,15.03,0.143936,6108.0,4.469,0.956,0.981,7.48712,15.27,0
16.38489988,0.001,3.0249,1127.1,2.0,0.029758,4126.0,4.661,0.615,0.633,5.4538,15.095,1
7.8774163,0.041,2.0805,1306.1,2.16,0.03209,4126.0,4.661,0.615,0.633,8.09685,15.095,1
36.4454001,0.028,4.007,1122.3,1.99,0.029681,4126.0,4.661,0.615,0.633,5.21237,15.095,1
3.728732147,0.558,2.683,5226.5,6.02,0.068178,5497.0,4.577,0.809,0.907,1.24118,15.523,1
40.4195037,0.911,3.362,6256.0,7.51,0.088069,5446.0,4.507,0.781,0.714,1.89549,15.487,0
2.243380573,0.915,1.1196,821.7,1.99,0.032248,4149.0,4.698,0.564,0.578,1.50915,15.135,1
10.405998015,0.324,6.5036,14489.0,11.23,0.111248,5746.0,4.393,0.924,0.77,0.38489,15.562,0
2.337437946,0.28,1.9982,971.2,2.34,0.027998,5005.0,4.595,0.765,0.85,2.41093,15.334,1
7.2406612,1.198,0.558,556.4,19.45,0.232818,5005.0,4.595,0.765,0.85,8.66412,15.334,0
3.43591631,0.624,3.133,23.2,0.55,0.004612,5779.0,4.339,1.087,0.941,0.47024,12.791,0
11.59822233,0.679,2.5237,2804.5,2.65,0.051287,3688.0,4.79,0.473,0.503,3.14915,15.937,1
6.575315881,0.39,4.3084,2793.3,5.31,0.049152,5992.0,4.415,0.989,0.927,0.64392,15.312,1
7.275040844,0.547,7.5377,3001.0,4.86,0.051358,5485.0,4.556,0.867,0.986,0.10578,15.08,1
19.27153892,0.031,2.7594,1219.8,1.93,0.031585,4077.0,4.702,0.56,0.576,8.48241,15.385,1
10.06524317,0.628,1.369,1053.3,1.91,0.031153,4077.0,4.702,0.56,0.576,18.09666,15.385,1
12.3935651,0.883,3.8896,916.6,2.66,0.032536,5557.0,4.603,0.75,0.832,0.27483,15.505,1
43.84439721,0.852,6.802,615.2,2.87,0.025934,5854.0,4.406,1.012,0.951,0.22039,12.882,1
3.341913228,1.213,3.813,725.3,21.55,0.243351,5295.0,4.551,0.811,0.853,0.01791,15.629,0
1.626630225,1.26,2.1145,1620.6,32.43,0.305244,5735.0,4.41,0.973,0.889,0.09631,15.279,0
2.711504086,0.023,3.0099,837.5,3.12,0.026533,6214.0,4.442,1.076,1.169,0.91618,15.541,1
7.21203748,0.012,4.0491,950.4,3.32,0.028255,6214.0,4.442,1.076,1.169,0.99867,15.541,1
14.1798187,0.1601,2.505,459.9,1.88,0.019561,5799.0,4.539,0.878,0.975,7.76746,15.727,0
8.47237911,0.022,2.7245,1123.5,2.59,0.030119,5354.0,4.587,0.788,0.884,3.86328,15.339,1
60.4189369,0.094,5.039,931.3,2.36,0.027422,5354.0,4.587,0.788,0.884,4.26444,15.339,1
12.611904345,0.55,5.1497,6105.6,7.4,0.073758,5795.0,4.508,0.919,0.992,0.61222,15.14,1
1.433769925,1.268,1.8868,1976.3,46.58,0.318591,6017.0,4.22,1.339,1.083,0.1372,15.122,0
10.31872301,1.215,3.836,871.7,28.59,0.247006,5927.0,4.409,1.06,1.05,0.03681,15.065,0
2.539183147,0.238,2.4282,382.1,2.06,0.017724,5519.0,4.35,1.062,0.921,1.46261,15.026,1
6.770300385,0.838,2.0844,1304.0,2.77,0.037414,5653.0,4.656,0.679,0.767,1.45164,15.591,1
0.444291966,1.258,2.0792,10967.0,27.51,0.396105,5255.0,4.678,0.636,0.709,0.42351,15.748,0
10.181584004,0.92,3.5089,5741.1,7.73,0.084708,5988.0,4.541,0.836,0.885,0.38059,15.657,0
20.06036336,0.556,3.3203,1494.7,1.96,0.036455,3950.0,4.754,0.493,0.502,3.09445,15.954,1
46.1842039,0.013,4.758,1394.7,1.83,0.033974,3950.0,4.754,0.493,0.502,3.99779,15.954,1
23.9800854,0.95,5.351,104.0,1.31,0.011879,5854.0,4.406,1.012,0.951,0.05654,12.882,1
7.82502168,0.708,2.186,520.8,1.2,0.022312,3950.0,4.754,0.493,0.502,2.54508,15.954,1
3.895936525,0.524,2.3111,8544.8,7.34,0.08689,5557.0,4.592,0.774,0.866,2.31292,15.725,1
22.36646466,0.4,5.228,986.8,2.32,0.028938,5395.0,4.615,0.734,0.821,1.12517,15.583,1
1.625522174,0.076,2.38963,7969.0,9.73,0.080543,5539.0,4.322,1.106,0.935,1.28198,15.001,1
19.620346923,0.458,2.0038,21725.0,13.6,0.137595,5710.0,4.492,0.905,0.928,23.21659,15.562,0
7.544039,1.175,6.222,322.6,17.47,0.194187,5657.0,4.567,0.824,0.919,0.00393,15.559,0
9.02930689,0.024,3.1449,1019.8,2.57,0.028718,5349.0,4.526,0.82,0.824,2.66613,15.387,1
10.328035714,0.281,7.7915,16918.0,13.28,0.118805,5627.0,4.359,1.024,0.874,0.23528,15.646,0
143.2063047,0.379,8.9302,10566.0,8.9,0.094044,5485.0,4.556,0.867,0.986,1.83449,15.403,1
6.164876,0.646,3.262,55.8,0.79,0.007192,5854.0,4.406,1.012,0.951,0.69664,12.882,1
60.32494216,0.224,6.6188,20280.0,12.19,0.128744,5485.0,4.556,0.867,0.986,2.37656,15.403,1
29.1598615,0.3619,4.803,488.0,1.91,0.02018,5485.0,4.556,0.867,0.986,1.92739,15.403,1
1.540397253,1.225,2.1541,816.1,25.69,0.257087,5663.0,4.53,0.915,1.034,0.06102,15.974,0
2.99025443,0.014,5.414,589.2,1.7,0.021279,4667.0,4.578,0.731,0.737,0.17407,15.842,0
1.594745374,0.514,1.9604,15044.0,11.3,0.115879,5934.0,4.491,0.893,0.901,1.77544,15.53,1
4.783002698,0.003,2.335,1008.7,2.5,0.028315,5170.0,4.574,0.807,0.891,3.45234,15.119,1
20.50588921,0.26,4.0595,2105.5,3.41,0.041039,4905.0,4.544,0.761,0.739,2.64998,15.398,1
3.340218842,0.466,1.9104,1632.6,2.03,0.037683,3950.0,4.754,0.493,0.502,3.23586,15.954,1
2.507089906,1.255,2.0067,1339.2,30.26,0.295115,5926.0,4.506,0.939,1.03,0.11003,15.555,0
18.64932728,0.08,4.4056,893.6,3.12,0.027096,5775.0,4.405,1.053,1.026,1.97596,15.386,1
4.90144976,0.529,4.1654,140.7,1.7,0.011136,5847.0,4.191,1.402,1.113,0.3709,12.487,1
9.75192101,0.949,4.793,418.0,2.76,0.024042,5775.0,4.405,1.053,1.026,0.044,15.386,1
38.5576546,0.911,5.794,993.0,4.02,0.03498,5775.0,4.405,1.053,1.026,0.19756,15.386,1
3.525632539,0.12,2.59959,22335.0,11.58,0.13372,5150.0,4.572,0.793,0.855,2.43681,15.224,1
34.84398644,0.934,2.9315,4523.6,7.61,0.080046,5509.0,4.482,0.871,0.84,1.86832,15.684,0
7.748094239,0.517,3.5957,2472.1,5.52,0.046615,5973.0,4.439,1.085,1.181,1.06292,15.67,1
23.96793669,0.416,3.827,1182.3,1.8,0.03141,3747.0,4.728,0.524,0.536,3.03325,15.414,1
8.29561738,0.888,1.3421,824.3,1.82,0.03178,3747.0,4.728,0.524,0.536,4.18931,15.414,1
8.11437482,0.573,2.2736,1558.0,2.1,0.037204,3692.0,4.753,0.517,0.553,3.76716,15.877,1
38.036729482,0.501,4.34617,82872.0,27.5,0.27018,5575.0,4.521,0.932,1.051,6.21385,15.472,0
4.64090031,1.28,35.512,2450.6,30.09,0.333559,6463.0,4.5,0.826,0.786,0.00218,15.27,0
3.747838198,1.121,5.0642,616.0,13.65,0.151387,5514.0,4.569,0.826,0.926,0.00878,13.496,0
14.74914825,0.173,6.0995,430.2,2.89,0.018864,5847.0,4.191,1.402,1.113,0.55575,12.487,1
21.81295996,0.053,4.3791,1175.4,3.38,0.030952,5601.0,4.41,0.999,0.934,2.39175,15.54,1
7.91936937,0.733,3.3148,15148.0,10.34,0.121984,5690.0,4.588,0.776,0.852,1.13074,15.805,0
1.028436523,1.5734,1.8606,8098.0,72.77,0.673134,6228.0,4.428,0.99,0.959,0.43236,15.202,0
15.37562369,0.692,3.3169,15337.0,11.01,0.12103,4986.0,4.496,0.833,0.793,2.43887,16.422,1
8.10363271,0.047,3.161,887.9,2.11,0.026361,4861.0,4.574,0.732,0.733,2.33533,15.289,1
4.71510843,0.258,2.506,417.5,1.46,0.018268,4861.0,4.574,0.732,0.733,2.42359,15.289,1
6.365839713,0.524,2.9721,780.7,2.44,0.026275,5776.0,4.554,0.849,0.939,1.41102,15.09,1
5.97581754,0.941,3.065,962.4,3.86,0.035468,6108.0,4.471,0.997,1.072,0.14724,15.546,0
2.446737317,1.241,4.7211,1177.9,26.25,0.278526,5764.0,4.548,0.863,0.959,0.01691,15.021,0
3.04033046,0.736,1.8411,10859.0,8.99,0.104023,5035.0,4.519,0.791,0.754,2.31195,15.028,1
15.33528675,0.773,3.897,3081.4,5.0,0.056,5251.0,4.581,0.817,0.926,0.81659,15.855,1
7.95825328,0.706,4.377,50.0,1.06,0.006915,5847.0,4.191,1.402,1.113,0.29918,12.487,1
31.33046135,0.798,5.176,5073.8,6.5,0.072904,5251.0,4.581,0.817,0.926,0.70448,15.855,1
3.9043425,0.709,3.831,16228.0,12.28,0.125229,5810.0,4.526,0.898,0.989,0.39988,15.016,0
9.286358079,0.377,3.49949,44791.0,17.61,0.19639,5670.0,4.523,0.821,0.82,2.67897,15.365,0
3.951405455,1.276,2.1862,2453.9,31.44,0.331342,6046.0,4.539,0.869,0.953,0.19337,15.446,0
23.65369415,0.008,8.2183,3341.8,7.89,0.05219,5739.0,4.191,1.384,1.083,0.41907,15.084,1
13.23352214,0.014,6.7372,504.6,3.06,0.020278,5739.0,4.191,1.384,1.083,0.3884,15.084,1
6.15560285,0.235,4.9843,285.0,2.32,0.015336,5739.0,4.191,1.384,1.083,0.40662,15.084,1
2.090811305,0.746,3.388,115.9,1.62,0.010686,5739.0,4.191,1.384,1.083,0.1588,15.084,1
3.180027898,0.196,3.5797,120.3,1.53,0.009989,5847.0,4.191,1.402,1.113,0.5756,12.487,1
50.4467417,0.379,7.159,370.3,2.67,0.01767,5739.0,4.191,1.384,1.083,0.97794,15.084,1
11.76307164,0.048,2.9076,1037.3,2.35,0.028519,4959.0,4.603,0.756,0.849,4.37951,15.208,1
56.2279271,0.7,3.57,862.7,2.37,0.028683,4959.0,4.603,0.756,0.849,4.47051,15.208,1
2.384052875,1.178,3.0918,1268.1,17.06,0.222925,4794.0,4.58,0.701,0.683,0.03902,15.836,0
7.953547,0.3,2.6312,875.4,2.25,0.026448,4768.0,4.536,0.779,0.759,3.48717,15.66,1
4.14451656,0.004,2.3421,391.8,1.48,0.017441,4768.0,4.536,0.779,0.759,2.87358,15.66,1
4.859386384,1.259,2.2757,6044.3,38.33,0.355227,6072.0,4.47,0.988,1.05,0.4563,15.311,0
10.526294577,0.644,2.5211,9768.0,8.24,0.095143,5386.0,4.553,0.793,0.82,3.85261,15.305,1
4.583520948,0.045,2.7055,3812.1,5.39,0.056287,5815.0,4.54,0.877,0.973,2.30111,15.287,1
3.76181843,0.926,3.5176,510.6,2.66,0.025656,5653.0,4.472,0.949,0.974,0.06927,15.257,1
8.20396958,0.823,2.9667,1024.4,3.01,0.033372,5015.0,4.499,0.826,0.785,0.65082,15.376,1
14.49645186,0.97,4.016,647.5,3.01,0.033377,5015.0,4.499,0.826,0.785,0.0859,15.376,1
6.54626149,0.644,2.75,655.9,2.19,0.024555,5251.0,4.581,0.817,0.926,1.35056,15.855,1
12.71809866,0.427,3.0957,1149.4,2.31,0.030871,4702.0,4.592,0.686,0.67,2.98907,15.389,1
36.06588163,0.26,4.3246,1563.8,2.64,0.035281,4702.0,4.592,0.686,0.67,3.78452,15.389,1
4.190425659,0.458,2.8589,2877.4,6.21,0.050076,6073.0,4.392,1.135,1.163,1.28404,15.27,1
3.709870784,0.023,3.0694,2020.3,4.35,0.040686,5727.0,4.463,0.978,1.013,1.22579,15.581,1
16.3297527,0.791,6.271,1187.5,3.75,0.034822,5878.0,4.444,0.987,0.989,0.16717,15.447,1
27.807566216,0.782,4.21587,25391.0,13.84,0.161479,5862.0,4.584,0.785,0.865,1.98053,15.482,1
80.8723469,0.527,11.195,3604.6,7.59,0.056129,5510.0,4.222,1.238,0.932,0.37264,15.201,1
3.166465862,1.266,2.9381,4357.2,26.82,0.348902,4968.0,4.575,0.704,0.68,0.12553,15.999,0
24.99324319,0.686,5.9409,269.6,2.29,0.015956,5718.0,4.181,1.317,0.961,0.42385,12.377,1
10.35533116,0.029,3.1775,750.6,2.47,0.024674,5501.0,4.462,0.918,0.891,2.92779,15.018,1
16.08518937,0.867,3.984,1442.4,3.68,0.040767,5239.0,4.523,0.826,0.83,0.41177,15.219,1
235.9986399,0.778,8.2284,20715.0,10.59,0.14756,4245.0,4.627,0.657,0.666,2.14449,15.172,0
7.49018305,0.02,2.7297,1123.6,2.56,0.029843,5103.0,4.562,0.787,0.823,3.3941,15.599,1
36.2761238,0.035,4.7865,1572.6,3.03,0.035273,5103.0,4.562,0.787,0.823,3.09103,15.599,1
17.46087931,0.594,2.2641,812.4,2.32,0.026969,5103.0,4.562,0.787,0.823,7.45729,15.599,1
56.0560754,0.018,4.685,1626.0,1.94,0.036134,3593.0,4.757,0.491,0.503,5.11354,15.849,1
41.408316686,0.377,5.0264,22839.0,11.38,0.139516,5522.0,4.586,0.747,0.786,3.42177,15.196,1
39.74893077,0.881,7.3051,15179.0,14.21,0.134949,6122.0,4.487,0.964,1.041,0.31474,15.344,0
5.715425977,0.348,2.5242,908.1,2.47,0.027348,5237.0,4.572,0.826,0.927,2.71439,15.086,1
49.18394185,0.035,11.3364,1646.2,8.2,0.036501,5626.0,3.907,2.057,1.247,0.31666,12.654,1
20.0261412,0.957,1.611,421.2,2.28,0.025305,5237.0,4.572,0.826,0.927,2.00738,15.086,1
13.61014819,1.081,2.594,5732.9,19.02,0.192842,5697.0,4.46,0.903,0.857,0.84633,15.06,0
10.44331991,0.23,2.743,1159.8,2.66,0.030416,4947.0,4.516,0.802,0.769,4.32663,15.546,0
2.237489571,0.128,1.8119,315.8,1.41,0.015942,5265.0,4.58,0.81,0.91,3.26761,15.001,1
5.851520671,0.211,3.11058,33004.0,14.62,0.166109,5532.0,4.53,0.806,0.804,2.48066,15.33,0
3.167893418,0.026,2.1814,781.2,2.62,0.025513,5895.0,4.503,0.94,1.026,2.78453,15.533,1
4.311780262,0.196,2.7251,1154.0,3.11,0.030716,5527.0,4.484,0.927,0.956,1.86883,15.604,1
20.0504494,0.383,4.556,840.9,2.69,0.026569,5527.0,4.484,0.927,0.956,1.54536,15.604,1
9.76734503,0.9,1.6585,569.1,2.67,0.026407,5527.0,4.484,0.927,0.956,2.17446,15.604,1
119.0207044,0.076,8.1405,7430.5,8.98,0.077431,5453.0,4.342,1.062,0.904,2.31024,15.085,0
190.3200468,0.812,15.284,1141.7,7.78,0.034654,5626.0,3.907,2.057,1.247,0.11866,12.654,1
2.861159894,0.965,1.8832,1014.3,4.37,0.039171,6126.0,4.458,1.021,1.09,0.22208,15.618,0
26.44439337,0.03,3.9783,1843.5,3.91,0.038511,5427.0,4.463,0.929,0.915,3.96328,15.158,1
51.53997972,0.183,6.3994,3644.3,5.51,0.05435,5427.0,4.463,0.929,0.915,1.85679,15.158,1
5.902245782,0.209,2.9003,702.3,2.43,0.023909,5427.0,4.463,0.929,0.915,2.05923,15.158,1
2.382951591,0.479,1.8876,391.6,1.86,0.018369,5427.0,4.463,0.929,0.915,2.19197,15.158,1
21.02250608,0.036,4.1072,1772.5,3.07,0.037466,5067.0,4.585,0.75,0.789,2.85327,15.859,1
3.219814777,0.06,2.0642,488.2,1.69,0.019702,5103.0,4.562,0.787,0.823,3.26825,15.599,1
5.912273234,0.17,2.3254,961.4,1.73,0.027826,4072.0,4.696,0.57,0.586,4.13623,15.036,1
8.98581901,0.008,2.8606,881.3,1.65,0.026527,4072.0,4.696,0.57,0.586,3.50489,15.036,1
12.940668656,0.897,2.4845,42450.0,22.94,0.259639,5875.0,4.572,0.809,0.895,4.93266,15.215,0
20.5452375,0.95,2.517,218.5,2.41,0.017424,5670.0,4.206,1.264,0.937,0.52476,12.003,0
33.60123371,0.67,4.4056,7425.9,8.46,0.083298,5149.0,4.447,0.93,0.882,2.04292,15.262,1
6.76652928,0.429,2.9004,450.7,1.97,0.019382,5149.0,4.447,0.93,0.882,1.85399,15.262,1
4.347288783,0.025,2.1024,451.6,2.36,0.019273,5754.0,4.345,1.122,1.014,4.18264,15.024,1
4.601811819,0.567,2.2607,755.9,2.35,0.02579,4986.0,4.496,0.833,0.793,2.109,15.024,1
11.18719905,0.387,3.252,353.6,1.55,0.017042,4986.0,4.496,0.833,0.793,2.28406,15.024,1
4.220965778,0.705,3.0854,2260.0,2.62,0.046401,3837.0,4.747,0.517,0.544,0.5702,15.692,1
6.998099523,7.361,2.0488,20285.0,588.66,6.502574,5612.0,4.566,0.829,0.926,22.19119,15.877,0
5.95489993,0.327,2.3892,1410.7,2.33,0.033728,4261.0,4.641,0.633,0.64,3.48052,15.019,1
12.03987488,0.286,2.7363,1250.6,2.18,0.031605,4261.0,4.641,0.633,0.64,4.82896,15.019,1
20.83762895,0.706,2.3734,439.0,1.42,0.020532,4261.0,4.641,0.633,0.64,5.25789,15.019,1
8.8111022,1.223,5.0683,401.1,63.66,0.242511,6200.0,3.8,2.404,1.333,0.00762,12.759,0
23.58917143,0.926,5.073,1200.7,3.16,0.040151,4919.0,4.566,0.721,0.697,0.16337,15.316,1
6.481633073,0.833,3.784,298.5,2.54,0.017836,5945.0,4.213,1.302,1.009,0.20633,12.365,1
10.37168928,0.537,3.035,1254.9,3.2,0.033023,5121.0,4.457,0.888,0.822,2.15323,15.193,1
3.96996298,0.836,1.1757,299.2,1.78,0.018305,5121.0,4.457,0.888,0.822,4.07984,15.193,1
4.40841331,0.899,5.012,549.4,2.66,0.025379,6007.0,4.457,0.961,0.968,0.03994,15.662,1
7.9426176,0.942,6.703,1590.7,4.68,0.046289,5811.0,4.521,0.926,1.036,0.02282,15.26,0
226.8904775,0.731,7.558,3136.4,4.53,0.055361,5067.0,4.585,0.75,0.789,1.95932,15.859,1
1.956811408,1.091,2.1958,24905.0,21.58,0.327759,5209.0,4.657,0.603,0.602,0.72779,15.533,0
2.688899233,0.001,2.11275,37492.0,12.04,0.172543,4820.0,4.667,0.639,0.699,3.89722,15.766,0
9.439459486,0.049,2.8979,3036.1,4.16,0.048953,5097.0,4.597,0.779,0.891,3.76657,15.067,1
11.523067458,0.0,3.8757,507.3,3.13,0.020288,5644.0,4.162,1.411,1.053,1.77474,12.346,1
20.47748843,0.497,2.8364,1382.4,2.92,0.034376,5097.0,4.597,0.779,0.891,5.64738,15.067,1
3.336123113,0.252,1.9616,516.3,1.74,0.020396,5097.0,4.597,0.779,0.891,3.61764,15.067,1
8.01078456,0.192,2.312,1333.6,1.72,0.03347,3713.0,4.779,0.47,0.484,5.73059,15.847,1
12.07134205,0.014,4.3224,759.2,1.29,0.025158,3713.0,4.779,0.47,0.484,1.35939,15.847,1
20.99587872,0.228,2.6333,767.3,1.3,0.025412,3713.0,4.779,0.47,0.484,9.69398,15.847,1
7.41113177,0.712,2.5242,620.5,2.45,0.024438,5849.0,4.517,0.919,1.014,1.56072,15.031,1
1.000747038,0.908,0.9967,1823.5,4.14,0.047993,5472.0,4.499,0.79,0.718,1.32454,15.419,0
8.884922995,0.069,2.07004,16053.0,10.51,0.114124,5332.0,4.5,0.843,0.821,11.62061,15.264,1
8.09888906,0.018,4.20241,6911.1,8.95,0.076211,6214.0,4.442,1.076,1.169,1.14941,15.261,1
10.00653012,0.862,5.344,936.1,3.52,0.032174,6063.0,4.47,1.001,1.079,0.1029,15.063,1
17.855221681,0.075,7.41287,9065.2,13.16,0.08815,6823.0,4.308,1.367,1.386,0.47367,11.353,1
12.732624065,0.811,2.2083,6465.7,4.87,0.082519,3950.0,4.721,0.541,0.563,3.68779,15.75,0
83.92494032,0.658,6.7904,7958.7,4.78,0.086015,3960.0,4.746,0.509,0.526,1.45972,15.754,0
5.007316661,0.344,4.2362,6932.3,6.96,0.077106,5865.0,4.563,0.827,0.914,0.59565,15.813,1
2.211116989,0.69,1.6485,724.2,1.85,0.026289,4500.0,4.656,0.646,0.71,1.85398,15.791,1
27.9541337,0.063,3.95,942.5,1.9,0.026973,4500.0,4.656,0.646,0.71,4.12204,15.791,1
12.69104387,0.008,3.7727,252.1,2.57,0.014487,5869.0,4.024,1.626,1.019,2.08259,12.935,1
4.409409243,0.028,3.8636,12861.0,10.95,0.10287,5600.0,4.368,0.975,0.811,0.8699,15.403,0
16.23947096,0.043,4.0374,2590.7,4.14,0.045252,5191.0,4.564,0.837,0.937,2.37192,15.258,1
6.308201629,0.03,2.9785,1328.5,2.96,0.032418,5191.0,4.564,0.837,0.937,2.21701,15.258,1
2.052349884,0.437,2.0778,14281.0,13.12,0.11123,5855.0,4.393,1.08,1.049,2.08526,15.257,1
9.7704486,0.09,2.4517,1897.8,2.23,0.040133,3906.0,4.73,0.509,0.508,6.22573,15.777,1
5.169804269,0.351,2.153,1037.4,1.66,0.029936,3906.0,4.73,0.509,0.508,3.97487,15.777,1
21.22261195,0.02,6.5093,366.0,2.48,0.01746,5945.0,4.213,1.302,1.009,0.68373,12.365,1
20.09017037,0.886,4.154,1432.1,2.25,0.040437,3906.0,4.73,0.509,0.508,0.38566,15.777,1
7.11373257,0.334,2.1764,807.6,1.16,0.025862,3561.0,4.855,0.411,0.44,5.31573,15.234,1
